Location,Boundary,Leases
NatPro - Datacenter,10.10.1.0/24,
NatPro - Montreal,10.10.10.0/24,
NatPro - Toronto,10.10.17.0/24,
NatPro - Edmonton,10.10.21.0/24,
NatPro - Vancouver,10.10.22.0/24,
NatPro - Winnipeg,10.10.24.0/24,
NatPro - Saskatoon,10.10.26.0/24,
NatPro - Calgary,10.10.29.0/24,
KC - Corning,10.100.48.0/24,
PI - AMGA - H1,10.78.39.0/24,
PI - AMGA - H2,10.78.40.0/24,
PI - AMGB,10.78.82.0/24,
PI - Baltimore,10.80.10.0/24,
Abilene,10.80.108.0/24,
Moultrie - Alternate,10.80.40.0/24,
Tulsa,10.80.46.0/24,
Casper - Alternate2,10.80.62.0/24,
Quadna - Grand Junction - Alternate,10.80.78.0/24,
Casper - Alternate,10.80.80.0/24,
KC - Falconer - Alternate,10.80.90.0/24,
Quadna - Phoenix - Alternate2,10.80.96.0/24,
Beaumont,10.96.104.0/24,
Allentown,10.96.128.0/24,
PI - Kansas City,10.97.144.0/24,
Vertex - Elk Grove Village,10.97.184.0/24,
Amarillo,10.97.208.0/24,
Mechanicsburg (Tucker),10.97.32.0/24,
Rockford,10.97.56.0/24,
Omaha ODT,10.97.88.0/24,
PI - Agin,10.97.96.0/24,
Grand Prarie,10.98.136.0/24,
Greeley,10.98.144.0/24,
Lufkin,10.98.208.0/24,
Odessa Safety International,10.98.224.0/24,
Oklahoma City,10.98.240.0/24,
PI - Santa Fe Springs,10.99.112.0/24,
Quadna - Casper,10.99.136.0/24,
Quadna - Golden,10.99.152.0/24,
Quadna - Ogden,10.99.168.0/24,
Seal Division,10.99.200.0/24,
Charlotte,10.99.216.0/24,
Uniontown,10.99.240.0/24,
PI - AUIN,10.99.32.0/24,
Cleburn,192.168.10.0/24,
Cincinnati,192.168.125.0/24,
Brighton,192.168.131.0/24,
Oklahoma City,192.168.156.0/24,
SCS Radford,192.168.205.0/24,
Pinemont - Alternate,192.168.7.0/24,
