Name,Value
10.10.29.0,no
10.80.10.0,no
10.10.21.0,no
10.97.96.0,no
10.10.1.0,no
10.97.56.0,no
10.97.144.0,no
10.10.24.0,no
10.99.168.0,no
10.97.184.0,no
10.99.240.0,no
10.99.136.0,no
10.99.32.0,no
10.80.96.0,no
192.168.125.0,no
10.10.22.0,no
10.80.80.0,no
10.10.17.0,no
10.78.82.0,no
10.78.40.0,no
10.100.48.0,no
10.97.208.0,no
10.80.62.0,no
10.10.26.0,no
10.97.88.0,no
192.168.131.0,no
10.80.108.0,no
192.168.156.0,no
10.98.240.0,no
10.96.104.0,no
192.168.10.0,no
192.168.7.0,no
10.80.40.0,no
10.99.200.0,no
10.99.152.0,no
10.99.216.0,no
10.97.32.0,no
10.10.10.0,no
10.80.90.0,no
10.98.136.0,no
10.98.224.0,no
192.168.205.0,no
10.96.128.0,no
10.80.46.0,no
10.80.78.0,no
10.98.144.0,no
10.78.39.0,no
10.99.112.0,no
10.98.208.0,no
